Athlete_ID;Name;Sex;Height;Weight
1;A Dijiang;M;180;80
2;A Lamusi;M;170;60
3;Gunnar Nielsen Aaby;M;;
4;Edgar Lindenau Aabye;M;;
8;"Cornelia ""Cor"" Aalten (-Strannood)";F;168;
10;"Einar Ferdinand ""Einari"" Aalto";M;;
12;Jyri Tapani Aalto;M;172;70
13;Minna Maarit Aalto;F;159;56
15;Arvo Ossian Aaltonen;M;;
17;Paavo Johannes Aaltonen;M;175;64
18;Timo Antero Aaltonen;M;189;130
19;Win Valdemar Aaltonen;M;;
21;Ragnhild Margrethe Aamodt;F;163;
22;Andreea Aanei;F;170;125
23;Fritz Aanes;M;187;89
25;Alf Lied Aanning;M;;
27;Johan Aantjes;M;;
28;Jan-Erik Aarberg;M;170;77
29;Willemien Aardenburg;F;;
30;Pepijn Aardewijn;M;189;72
31;Evald rma (rman-);M;174;70
32;Olav Augunson Aarnes;M;;
33;Mika Lauri Aarnikka;M;187;76
34;Jamale (Djamel-) Aarrass (Ahrass-);M;187;76
36;Stefan Remco Aartsen;M;194;78
37;Ann Kristin Aarnes;F;182;64
38;Karl Jan Aas;M;;
39;Lars Thorlaksn Aas;M;;
41;Rolf Aas;M;;
42;Thomas Valentin Aas;M;;
43;Morten Gjerdrum Aasen;M;185;75
45;Hakon Aasns;M;;
46;Hans Aasns;M;194;93
47;Erling Rudolf Aastad;M;177;74
48;Abdelhak Aatakni;M;;64
49;Moonika Aava;F;168;65
50;Arvi Aavik;M;185;106
51;Nstor Abad Sanjun;M;167;64
52;Patrick Abada;M;189;80
53;Talaat Abada;M;172;58
54;Mohamed Jamshid Abadi;M;;
55;Antonio Abadia Beci;M;170;65
56;Ren Abadie;M;;
57;Borislav Abadzhiev;M;176;66
58;Georgi Abadzhiev;M;;
59;Ivan Nikolov Abadzhiev;M;164;71
60;Mikhail Abadzhiev;M;172;75
61;Stefan Abadzhiev;M;175;72
62;Giovanni Abagnale;M;198;90
63;Jos Luis Abajo Gmez;M;194;87
64;M'Bairo Abakar;M;;
65;Patimat Abakarova;F;165;49
66;Mohamed Abakkar;M;156;48
67;Mariya Vasilyevna Abakumova (-Tarabina);F;179;80
68;Pablo Martn Abal;M;178;76
69;Tamara Abalde Daz;F;185;72
70;Jess Iory Aball Martnez;M;167;65
71;Juan Antonio Aball Delgado;M;172;82
72;Aleksey Aleksandrovich Abalmasov;M;180;83
73;Luc Abalo;M;182;86
74;Mara Laura Abalo;F;182;73
75;Giorgos Abalof;M;178;70
76;Jouan Patrice Abanda Etong;M;185;82
77;Antoine Abang;M;166;75
78;Salim Abanoz;M;;
79;Carlos Abarca Gonzlez;M;;
80;Jos Mara Abarca Plotas;M;186;83
81;Georgios Abaris;M;190;77
82;Enrique Abaroa Martnez;M;183;75
83;Carlos Arturo Abarza Chavez;M;;
84;Stephen Anthony Abas;M;165;55
85;Alejandro Abascal Garca;M;181;82
86;Jos Manuel Abascal Gmez;M;182;67
87;Rost'om Omeris dze Abashidze;M;188;97
88;Nunu Dzhansuhivna Abashydze (-Myslaieva);F;168;105
89;Rodrigo Abasolo;M;;
90;Tamila Rashidovna Abasova;F;163;60
91;Emanuele Abate;M;190;80
92;Ignazio Abate;M;180;73
93;Jol Marc Abati;M;190;85
94;Ral Abatte;M;;
95;Georgia Abatzidou;F;155;43
96;Carlos Rodolfo Abaunza Balladares;M;168;60
97;Carlos Alberto Abaunza;M;180;70
98;Hctor Abaunza;M;169;75
99;Pter Abay;M;181;79
100;Oszkr Abay-Nemes;M;;
101;Adeyemi Abayomi;M;170;51
102;Sayed Fahmy Abaza;M;;
103;Silvano Abba;M;;
104;Gana Abba Kimet;M;;
105;Ilyas Abbadi;M;175;75
106;Agostino Abbagnale;M;188;96
107;Carmine Abbagnale;M;182;90
108;Giuseppe Abbagnale;M;187;97
109;Abdul Latif Al-Sayed Abbas Youssef Hashem;M;176;64
110;Abubakar Abbas Abbas;M;175;66
111;Aqarab Abbas;M;190;88
112;Aziz Abbas;M;169;67
113;Bassim Abbas Kati Al-Ogaili;M;175;80
114;Essa Abbas Faleh Hashem;M;160;65
115;Ghulam Abbas;M;181;74
116;Hosni Mohamed Abbas;M;;60
117;Maher Abbas;M;178;78
118;Mahmoud Abbas;M;165;65
119;Mohamed Fakhry Rifaat Abbas;M;;
120;Mohammed Abbas Sabih;M;170;70
122;Nader Sufyan Abbas;M;173;77
123;Sohail Abbas;M;178;80
124;Youssef Mohamed Abbas;M;;
125;Zulkifli Abbas;M;170;62
127;Shakeel Abbasi;M;165;60
128;Soulmaz Abbasi Azad;F;173;60
129;Ruslan Abbasov;M;181;74
130;Tural Abbasov;M;182;76
131;Tran Abbasova;F;159;53
132;Simona Abbate;F;171;64
133;Franz Abb;M;;
134;Christian Abbiati;M;192;90
135;Lois Abbingh;F;178;72
136;Alessandro Abbio;M;195;85
138;Salwan Jasim Abbood Abbood;M;180;104
140;"William ""Bill"" Abbott Jr.";M;172;80
141;Clare Abbott;F;167;58
142;"David ""Dave"" Abbott";M;183;75
143;"Desmond ""Des"" Abbott";M;184;87
144;Geoffrey Grant Abbott;M;179;80
146;Jeremy Abbott;M;179;71
147;Joanne Abbott;F;160;57
148;"Kathryn ""Katie"" Abbott";F;164;63
149;Mara Katherine Abbott;F;163;52
150;Margaret Ives Abbott (-Dunne);F;;
151;Mary Perkins Ives Abbott (Perkins-);F;;
152;Matt Abbott;M;185;91
153;Monica Cecilia Abbott;F;191;88
154;Khadija Abbouda;F;165;57
155;Mohamed Ibrahim Abd El-Fatah Mohamed;M;185;98
156;Mahmoud Abd El-Kader;M;195;94
157;Mohamed Ibrahim Abd El-Salam;M;192;83
158;Noha Abd Rabo;F;;
159;Reem Wa'il Abdalazem Abdalazem El-Bossaty;F;167;60
160;Ali Abdalla Afringi;M;163;57
161;Hossam Abdalla;M;203;97
162;Hosam Abdallah;M;;
163;Ismail Abdallah;M;;
164;Maged Abdallah;M;;
165;Nia Nicole Abdallah;F;175;56
166;Omari Abdallah;M;168;57
167;Ould Lamine Abdallah;M;;
168;Younis Abdallah Rabee;M;169;68
169;Raida Abdallah Bader;F;158;49
170;Maha Abdalsalam Gouda;F;172;61
171;Mahmoud Abdel Aziz;M;174;70
172;Mohamed Abdel Ellah;M;168;68
173;Mohamed Abdel Fatah;M;170;69
174;Ali Mohamed Badawi Abdel Fattah Badawi;M;;
175;Abdelgani Hassan Abdel Fattah;M;;
176;Mahmoud Atter Abdel Fattah;M;;
177;Mohamed Abdel Fattah;M;174;69
178;Sayed Abdel Gadir;M;180;56
179;Ibrahim Saad Abdel Galil;M;176;73
180;Heba Abdel Gawad;F;154;48
181;Sara Abdel Gawad;F;153;46
182;Gamal Amin Abdel Ghani;M;;
183;Abdel Sattar Abdel Hadj;M;;
184;Ragy Abdel Hady;M;186;100
185;Osman Abdel Hafeez;M;;
186;Mohamed Abdel Hafiz;M;;
187;Moustafa Ali Abdel Halim;M;152;52
188;Mohamed Abdel Hamed;M;193;82
189;Hwad Ibrahim Abdel Hamid Lumomba;M;162;57
190;Ibrahim Abdel Hamid;M;;
191;Tamer Mohamed Abdel Hamid;M;;
192;Ahmed El-Sayed Abdel Hamid Mobarak;M;189;85
193;Dorri Abdel Kader Said;M;;
194;Moustafa Mounib Abdel Kader;M;176;67
195;Mohamed Ali Abdel Kerim;M;;81
196;Mohamed Abdel Khaled;M;183;76
197;Abdel Latif Abdel Latif;M;172;68
198;Walid Abdel Maksoud;M;;
199;Amir Abdel Meguid;M;178;67
200;Mohamed Abdel Mohamed;M;;
201;Karim Abdel Mohsen;M;188;92
202;Awad Abdel Nabi Awad;M;198;80
203;Ahmed Abdel Naeim;M;197;87
204;Moustafa Abdel Naser;M;176;74
205;Ali Abdel Radi;M;;
206;Amin Abdel Rahman;M;;
207;Mohamed Fathallah Abdel Rahman;M;;
208;Fathi Ali Abdel Rahman;M;;
209;Ibrahim Abdel Rahman;M;;
210;Khaled Abdel Rahman;M;188;79
211;Sameh Abdel Rahman;M;;
212;Yasser Abdel Rahman Sakr;M;180;120
213;Samy Abdel Razek;M;170;60
214;Mohamed Youssef Abdel Razik;M;;
215;Ibrahim Ahmed Abdel Rehim;M;190;83
216;Kamal Abdel Rehim;M;190;95
217;Reskalla Mohamed Abdel Rehim;M;165;48
218;Ahmed Ali Abdel Samad;M;195;95
219;Ali Abdel Sami;M;;
220;Mohamed Abdel Sami;M;;
221;Sameh Abdel Waress Muhammad;M;;
222;Mohamed Said Abdel Wehab;M;157;48
223;Mahmoud Abdel-Aal;M;;
224;Mohamed Abdel-El;M;;
225;Shaimaa Abdel-Latif-Hashad;F;165;57
226;Sanad Bushara Abdel-Nadif;M;;
227;Ahmed Abdelaal;M;188;89
228;Mahmoud Abdelaal;M;176;60
229;Mohamed Ali Abdelaal;M;175;81
230;Moustafa Abdelal;M;;
231;Mahmod Abdelaly;M;;
232;Ibrahim Ramadan Ibrahim Abdelbaki;M;173;77
233;Aziza Abdelfattah;F;159;51
234;Abdalla Abdelgadir El-Sheikh;M;170;58
235;Magdi Abdelghani Sayed Ahmed;M;;
236;Ragab Abdelhay Saad Abdelrazek Abdallah;M;170;94
237;Ben Ahmed Abdelkrim;M;;
238;Mohamed Abdellah;M;170;70
239;Ayoub Abdellaoui;M;184;68
240;Leila Abdelmoez;F;160;46
241;Sayed Abdelmonem Sayed Hamed;M;170;60
242;Ahmed Abdelrahman;M;165;60
243;Ihab Abdelrahman El-Sayed Abdelrahman;M;194;96
244;Raouf Abdelraouf;M;167;63
245;Abouelfetoh Abdelrazek;M;;
246;Mamdouh Abdelrehim;M;207;90
247;El-Hachemi Abdenouz;M;170;63
248;Rda Abdenouz;M;170;63
249;Mouni Abderrahim;F;173;60
250;Saeid Morad Abdevali;M;170;80
251;Bashir Abdi;M;176;56
252;Youcef Abdi;M;178;66
253;Jamal Abdi Hassan Abdullah;M;177;65
254;Talal Omar Abdillahi;M;170;57
255;Mahmoud Ahmed Abdin;M;;
256;"Abdihakim ""Abdi"" Abdirahman";M;178;61
257;Ali Abdo;M;169;74
258;Hamza Abdo;M;;
259;Reema Abdo;F;173;59
260;Ahmed Abdo Mustafa;M;;
261;Nasrollah Abdollahi;M;183;75
262;Yhyacinthe Mewoli Abdon;M;176;60
263;Hassane Abdou;M;185;67
264;Justin Abdou;M;175;85
265;Moustafa Ahmed Ismail Abdou Ali Arfah;M;;
266;Raouf Abdou;M;165;60
267;Mohamed Abdou El-Souad;M;180;76
268;Brahim Daoud Abdoulaye;M;;71
269;Fawziya Abdoulkarim;F;180;67
270;Alaa El-Din Abdoun;M;188;78
271;Ibrahim Abdrabbou;M;;
272;Berik Abdrakhmanov;M;165;60
273;Maizurah Abdul Rahim;F;147;50
274;Mehdi Fahim Abdul Al-Sada;M;184;70
275;Bashir Abdullah Abdul Aziz;M;180;73
276;Chairil Anwar Abdul Aziz;M;163;61
277;Shaimaa Abdul Aziz;F;160;53
278;Mohamed Abdul Hadj;M;;
279;Jefri Kiko Bolkiah Abdul Hakeem;M;172;90
280;Mohamed Abdul Hamid;M;175;55
281;S. Abdul Hamid;M;;
282;Hadi Abdul Jabbar;M;180;118
283;Mohamed Abed Abdul Jawad;M;169;65
284;Anouar Abdul Kader;M;;
285;Talal Hassoun Abdul Kader;M;;82
286;Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem;M;169;60
287;Taha Abdul Karim;M;156;59
288;Masoud Abdul Khamis Al-Rahman;M;176;68
