,Year,country,Sport,Number_of_Medals,Medals
0,1896,Germany,Athletics,1,['Silver']
1,1896,Germany,Gymnastics,4,"['Bronze', 'Gold', 'Gold', 'Gold']"
2,1896,Germany,Wrestling,1,['Gold']
3,1896,UK,Weightlifting,2,"['Gold', 'Silver']"
4,1896,USA,Athletics,12,"['Gold', 'Gold', 'Silver', 'Bronze', 'Gold', 'Gold', 'Silver', 'Silver', 'Gold', 'Gold', 'Silver', 'Bronze']"
5,1900,Australia,Athletics,4,"['Bronze', 'Bronze', 'Bronze', 'Gold']"
6,1900,Canada,Athletics,2,"['Bronze', 'Gold']"
7,1900,France,Athletics,2,"['Silver', 'Silver']"
8,1900,France,Rugby,2,"['Gold', 'Gold']"
9,1900,Hungary,Swimming,3,"['Silver', 'Bronze', 'Silver']"
10,1900,UK,Athletics,2,"['Gold', 'Gold']"
11,1900,UK,Rugby,1,['Silver']
12,1900,UK,Water Polo,1,['Bronze']
13,1900,USA,Athletics,21,"['Silver', 'Gold', 'Gold', 'Gold', 'Gold', 'Bronze', 'Bronze', 'Silver', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Silver', 'Silver', 'Gold', 'Bronze', 'Gold']"
14,1904,Canada,Athletics,1,['Gold']
15,1904,Canada,Lacrosse,2,"['Gold', 'Gold']"
16,1904,Germany,Tug-Of-War,1,['Bronze']
17,1904,Germany,Weightlifting,2,"['Bronze', 'Bronze']"
18,1904,Germany,Wrestling,1,['Silver']
19,1904,Greece,Athletics,1,['Bronze']
20,1904,Hungary,Swimming,2,"['Gold', 'Gold']"
21,1904,UK,Athletics,1,['Silver']
22,1904,USA,Athletics,38,"['Silver', 'Silver', 'Silver', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Gold', 'Gold', 'Gold', 'Bronze', 'Silver', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Silver', 'Bronze', 'Bronze', 'Bronze', 'Bronze', 'Gold', 'Gold', 'Gold', 'Gold', 'Bronze', 'Gold', 'Silver', 'Bronze', 'Gold', 'Gold', 'Silver', 'Silver']"
23,1904,USA,Boxing,2,"['Gold', 'Silver']"
24,1904,USA,Gymnastics,1,['Gold']
25,1904,USA,Swimming,5,"['Bronze', 'Silver', 'Gold', 'Gold', 'Gold']"
26,1904,USA,Water Polo,1,['Gold']
27,1904,USA,Wrestling,1,['Gold']
28,1908,Australia,Athletics,1,['Bronze']
29,1908,Australia,Swimming,2,"['Silver', 'Bronze']"
30,1908,Belgium,Rowing,1,['Silver']
31,1908,Canada,Athletics,5,"['Bronze', 'Bronze', 'Gold', 'Silver', 'Bronze']"
32,1908,Canada,Rowing,5,"['Bronze', 'Bronze', 'Bronze', 'Bronze', 'Bronze']"
33,1908,Canada,Wrestling,1,['Bronze']
34,1908,Finland,Athletics,1,['Bronze']
35,1908,Finland,Gymnastics,2,"['Bronze', 'Bronze']"
36,1908,Finland,Wrestling,3,"['Bronze', 'Silver', 'Gold']"
37,1908,France,Athletics,2,"['Silver', 'Bronze']"
38,1908,France,Cycling,3,"['Silver', 'Gold', 'Silver']"
39,1908,Germany,Athletics,4,"['Bronze', 'Silver', 'Silver', 'Silver']"
40,1908,Greece,Athletics,3,"['Silver', 'Silver', 'Silver']"
41,1908,Hungary,Athletics,3,"['Bronze', 'Bronze', 'Silver']"
42,1908,Hungary,Swimming,2,"['Silver', 'Silver']"
43,1908,Italy,Athletics,1,['Silver']
44,1908,Norway,Athletics,3,"['Silver', 'Bronze', 'Bronze']"
45,1908,Norway,Gymnastics,1,['Silver']
46,1908,Norway,Wrestling,1,['Silver']
47,1908,South Africa,Athletics,1,['Gold']
48,1908,Sweden,Athletics,5,"['Gold', 'Gold', 'Bronze', 'Bronze', 'Bronze']"
49,1908,Sweden,Diving,1,['Gold']
50,1908,Sweden,Gymnastics,1,['Gold']
51,1908,UK,Athletics,16,"['Gold', 'Gold', 'Gold', 'Bronze', 'Gold', 'Silver', 'Gold', 'Gold', 'Silver', 'Gold', 'Bronze', 'Gold', 'Silver', 'Silver', 'Silver', 'Gold']"
52,1908,UK,Cycling,1,['Silver']
53,1908,UK,Fencing,1,['Silver']
54,1908,UK,Gymnastics,1,['Silver']
55,1908,UK,Hockey,1,['Gold']
56,1908,UK,Swimming,5,"['Gold', 'Silver', 'Gold', 'Gold', 'Gold']"
57,1908,UK,Tug-Of-War,1,['Gold']
58,1908,UK,Water Polo,6,"['Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold']"
59,1908,UK,Wrestling,6,"['Gold', 'Bronze', 'Gold', 'Silver', 'Bronze', 'Gold']"
60,1908,USA,Athletics,40,"['Gold', 'Silver', 'Bronze', 'Gold', 'Silver', 'Silver', 'Gold', 'Silver', 'Bronze', 'Silver', 'Gold', 'Gold', 'Gold', 'Bronze', 'Silver', 'Bronze', 'Silver', 'Gold', 'Gold', 'Gold', 'Silver', 'Bronze', 'Silver', 'Gold', 'Bronze', 'Silver', 'Silver', 'Gold', 'Silver', 'Gold', 'Bronze', 'Gold', 'Gold', 'Gold', 'Bronze', 'Gold', 'Gold', 'Gold', 'Gold', 'Silver']"
61,1908,USA,Swimming,2,"['Gold', 'Bronze']"
62,1908,USA,Wrestling,2,"['Gold', 'Gold']"
63,1912,Australia,Tennis,1,['Bronze']
64,1912,Canada,Rowing,1,['Bronze']
65,1912,Finland,Athletics,17,"['Silver', 'Silver', 'Gold', 'Gold', 'Gold', 'Silver', 'Silver', 'Bronze', 'Silver', 'Bronze', 'Silver', 'Gold', 'Silver', 'Bronze', 'Silver', 'Gold', 'Gold']"
66,1912,Finland,Wrestling,4,"['Gold', 'Bronze', 'Silver', 'Gold']"
67,1912,France,Athletics,1,['Silver']
68,1912,Germany,Athletics,2,"['Silver', 'Silver']"
69,1912,Greece,Athletics,2,"['Bronze', 'Gold']"
70,1912,Italy,Athletics,1,['Bronze']
71,1912,Norway,Athletics,1,['Gold']
72,1912,Russia,Rowing,1,['Bronze']
73,1912,Russia,Wrestling,1,['Silver']
74,1912,South Africa,Athletics,1,['Gold']
75,1912,Sweden,Athletics,30,"['Bronze', 'Silver', 'Bronze', 'Silver', 'Gold', 'Gold', 'Bronze', 'Gold', 'Silver', 'Gold', 'Gold', 'Bronze', 'Gold', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Silver', 'Gold', 'Silver', 'Bronze', 'Silver', 'Silver', 'Gold', 'Gold', 'Bronze', 'Silver', 'Gold', 'Silver']"
76,1912,Sweden,Diving,1,['Silver']
77,1912,Sweden,Gymnastics,1,['Gold']
78,1912,UK,Athletics,11,"['Bronze', 'Gold', 'Bronze', 'Bronze', 'Gold', 'Bronze', 'Gold', 'Gold', 'Gold', 'Bronze', 'Silver']"
79,1912,UK,Fencing,1,['Silver']
80,1912,UK,Swimming,1,['Bronze']
81,1912,UK,Water Polo,4,"['Gold', 'Gold', 'Gold', 'Gold']"
82,1912,USA,Athletics,48,"['Silver', 'Bronze', 'Gold', 'Silver', 'Gold', 'Gold', 'Gold', 'Silver', 'Bronze', 'Gold', 'Gold', 'Bronze', 'Silver', 'Bronze', 'Gold', 'Bronze', 'Bronze', 'Gold', 'Silver', 'Gold', 'Bronze', 'Gold', 'Bronze', 'Silver', 'Gold', 'Silver', 'Gold', 'Gold', 'Gold', 'Silver', 'Bronze', 'Silver', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Gold', 'Silver', 'Gold', 'Bronze', 'Bronze', 'Gold', 'Gold', 'Gold', 'Silver', 'Bronze', 'Silver']"
83,1920,Australia,Swimming,2,"['Bronze', 'Silver']"
84,1920,Belgium,Fencing,1,['Silver']
85,1920,Belgium,Football,4,"['Gold', 'Gold', 'Gold', 'Gold']"
86,1920,Belgium,Gymnastics,1,['Silver']
87,1920,Canada,Athletics,1,['Gold']
88,1920,Canada,Ice Hockey,8,"['Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold']"
89,1920,Canada,Swimming,2,"['Bronze', 'Silver']"
90,1920,Estonia,Athletics,1,['Silver']
91,1920,Estonia,Weightlifting,1,['Gold']
92,1920,Finland,Athletics,21,"['Bronze', 'Gold', 'Gold', 'Bronze', 'Gold', 'Bronze', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Silver', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Gold', 'Silver', 'Gold', 'Gold']"
93,1920,Finland,Figure Skating,2,"['Gold', 'Gold']"
94,1920,Finland,Wrestling,7,"['Gold', 'Silver', 'Gold', 'Gold', 'Bronze', 'Silver', 'Silver']"
95,1920,France,Athletics,8,"['Silver', 'Bronze', 'Bronze', 'Gold', 'Silver', 'Silver', 'Silver', 'Silver']"
96,1920,France,Boxing,1,['Gold']
97,1920,France,Fencing,2,"['Gold', 'Bronze']"
98,1920,France,Gymnastics,1,['Bronze']
99,1920,France,Rowing,1,['Silver']
100,1920,France,Rugby,7,"['Silver', 'Silver', 'Silver', 'Silver', 'Silver', 'Silver', 'Silver']"
101,1920,France,Sailing,1,['Silver']
102,1920,France,Weightlifting,2,"['Gold', 'Gold']"
103,1920,Italy,Athletics,2,"['Gold', 'Gold']"
104,1920,Italy,Fencing,4,"['Gold', 'Gold', 'Silver', 'Gold']"
105,1920,Japan,Tennis,2,"['Silver', 'Silver']"
106,1920,Norway,Athletics,1,['Gold']
107,1920,South Africa,Athletics,4,"['Silver', 'Gold', 'Bronze', 'Silver']"
108,1920,Spain,Football,2,"['Silver', 'Silver']"
109,1920,Sweden,Athletics,22,"['Bronze', 'Bronze', 'Bronze', 'Bronze', 'Bronze', 'Silver', 'Bronze', 'Bronze', 'Bronze', 'Bronze', 'Bronze', 'Bronze', 'Silver', 'Bronze', 'Silver', 'Bronze', 'Bronze', 'Bronze', 'Bronze', 'Gold', 'Bronze', 'Bronze']"
110,1920,UK,Athletics,5,"['Gold', 'Gold', 'Silver', 'Bronze', 'Silver']"
111,1920,UK,Cycling,2,"['Silver', 'Silver']"
112,1920,UK,Swimming,1,['Bronze']
113,1920,UK,Water Polo,2,"['Gold', 'Gold']"
114,1920,USA,Athletics,32,"['Silver', 'Bronze', 'Silver', 'Gold', 'Bronze', 'Gold', 'Gold', 'Silver', 'Silver', 'Gold', 'Silver', 'Silver', 'Silver', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Bronze', 'Silver', 'Gold', 'Silver', 'Gold', 'Bronze', 'Bronze', 'Silver', 'Gold', 'Gold', 'Gold', 'Bronze', 'Gold', 'Gold']"
115,1920,USA,Boxing,1,['Gold']
116,1920,USA,Ice Hockey,10,"['Silver', 'Silver', 'Silver', 'Silver', 'Silver', 'Silver', 'Silver', 'Silver', 'Silver', 'Silver']"
117,1920,USA,Rowing,15,"['Silver', 'Gold', 'Gold', 'Silver', 'Silver', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Silver', 'Gold']"
118,1920,USA,Rugby,2,"['Gold', 'Gold']"
119,1920,USA,Swimming,1,['Silver']
120,1924,Argentina,Athletics,1,['Silver']
121,1924,Argentina,Boxing,1,['Bronze']
122,1924,Australia,Athletics,1,['Gold']
123,1924,Australia,Swimming,2,"['Bronze', 'Silver']"
124,1924,Belgium,Fencing,1,['Silver']
125,1924,Canada,Boxing,1,['Bronze']
126,1924,Estonia,Athletics,1,['Bronze']
127,1924,Estonia,Weightlifting,2,"['Silver', 'Bronze']"
128,1924,Finland,Athletics,27,"['Bronze', 'Gold', 'Silver', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Gold', 'Gold', 'Silver', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Bronze', 'Silver']"
129,1924,Finland,Shooting,3,"['Silver', 'Bronze', 'Bronze']"
130,1924,Finland,Wrestling,8,"['Gold', 'Bronze', 'Bronze', 'Silver', 'Silver', 'Gold', 'Silver', 'Gold']"
131,1924,France,Art Competitions,1,['Bronze']
132,1924,France,Athletics,5,"['Bronze', 'Bronze', 'Bronze', 'Bronze', 'Bronze']"
133,1924,France,Cycling,4,"['Gold', 'Gold', 'Gold', 'Gold']"
