,Year,Count,Added,Removed
0,1896,3,[],[]
1,1900,8,"['Australia', 'Canada', 'Hungary', 'Sweden', 'France']",[]
2,1904,7,"['Cuba', 'Greece']","['Australia', 'Sweden', 'France']"
3,1908,18,"['Denmark', 'Italy', 'Netherlands', 'Australia', 'Norway', 'Switzerland', 'South Africa', 'Finland', 'France', 'Belgium', 'Sweden', 'Austria']",['Cuba']
4,1912,21,"['Turkey', 'Serbia', 'Russia', 'Japan']",['Netherlands']
5,1920,20,"['Netherlands', 'Chile', 'Estonia', 'Czech Republic', 'Spain', 'Luxembourg']","['Denmark', 'Turkey', 'Serbia', 'Russia', 'Hungary', 'Austria', 'Germany']"
6,1924,30,"['Uruguay', 'Haiti', 'Bulgaria', 'New Zealand', 'Poland', 'Serbia', 'Hungary', 'Austria', 'Brazil', 'Argentina']",[]
7,1928,36,"['Ireland', 'Denmark', 'Mexico', 'Egypt', 'Monaco', 'Cuba', 'Philippines', 'Germany', 'Portugal']","['Spain', 'Austria', 'Brazil']"
8,1932,28,['Brazil'],"['Uruguay', 'Bulgaria', 'Egypt', 'Monaco', 'Chile', 'Cuba', 'Belgium', 'Portugal', 'Luxembourg']"
9,1936,36,"['Egypt', 'Monaco', 'Chile', 'India', 'Latvia', 'Belgium', 'Austria', 'Peru', 'China', 'Portugal', 'Luxembourg']","['Ireland', 'Haiti', 'Mexico']"
10,1948,44,"['Ireland', 'Uruguay', 'Trinidad', 'Mexico', 'Pakistan', 'Panama', 'Colombia', 'Turkey', 'South Korea', 'Cuba', 'Iceland', 'Puerto Rico', 'Jamaica', 'Spain']","['Egypt', 'Latvia', 'Estonia', 'China', 'Germany', 'Japan']"
11,1952,51,"['Bulgaria', 'Romania', 'Guatemala', 'Iran', 'Myanmar', 'Russia', 'Venezuela', 'China', 'Germany', 'Bahamas', 'Japan']","['Trinidad', 'Colombia', 'Peru', 'Panama']"
12,1956,62,"['Trinidad', 'Liberia', 'Taiwan', 'Thailand', 'Malaysia', 'Kenya', 'Colombia', 'Bermuda', 'Israel', 'Peru', 'Fiji', 'Nigeria', 'Indonesia', 'Ethiopia']","['Guatemala', 'Netherlands', 'Monaco']"
13,1960,81,"['Sudan', 'Sri Lanka', 'Lebanon', 'Afghanistan', 'Vietnam', 'Curacao', 'Monaco', 'Morocco', 'Liechtenstein', 'Malta', 'Ghana', 'Panama', 'Netherlands', 'Guyana', 'Uganda', 'Tunisia', 'San Marino', 'Zimbabwe', 'Syria', 'Iraq']",['Jamaica']
14,1964,91,"['Cambodia', 'Madagascar', 'Egypt', 'Ivory Coast', 'Boliva', 'Zambia', 'Cameroon', 'Mongolia', 'Algeria', 'Chad', 'Republic of Congo', 'Dominican Republic', 'Mali', 'Jamaica', 'Nepal', 'Senegal', 'Tanzania', 'Costa Rica']","['Sudan', 'San Marino', 'Guyana', 'Syria', 'South Africa', 'Malta', 'Fiji', 'Indonesia']"
15,1968,103,"['Sudan', 'Ecuador', 'Barbados', 'Democratic Republic of the Congo', 'Guatemala', 'San Marino', 'Belize', 'Guyana', 'Suriname', 'Virgin Islands, US', 'El Salvador', 'Malta', 'Nicaragua', 'Sierra Leone', 'Guinea', 'Indonesia', 'Honduras']","['Cambodia', 'Liberia', 'Republic of Congo', 'Zimbabwe', 'Nepal']"
16,1972,116,"['Somalia', 'Haiti', 'Liberia', 'Cambodia', 'Togo', 'Kuwait', 'Burkina Faso', 'Lesotho', 'Republic of Congo', 'Gabon', 'Benin', 'Swaziland', 'Syria', 'Saudi Arabia', 'Paraguay', 'Fiji', 'Malawi', 'North Korea']","['Democratic Republic of the Congo', 'Sierra Leone', 'Iraq', 'Guinea', 'Honduras']"
