,Year,Sport,Sex,avg_age,avg_height,avg_weight
0,1896,Athletics,M,22.0,180.0,72.0
1,1900,Athletics,M,23.0,180.0,74.0
2,1900,Fencing,M,28.0,178.0,83.0
3,1904,Athletics,M,24.0,178.0,74.0
4,1904,Boxing,M,19.0,174.0,66.0
5,1904,Gymnastics,M,25.0,164.0,69.0
6,1904,Swimming,M,20.0,181.0,69.0
7,1904,Tennis,M,24.0,183.0,86.0
8,1904,Tug-Of-War,M,32.0,188.0,91.0
9,1904,Water Polo,M,24.0,173.0,66.0
10,1904,Wrestling,M,22.0,160.0,54.0
11,1908,Athletics,M,24.0,180.0,75.0
12,1908,Swimming,M,23.0,183.0,70.0
13,1908,Tug-Of-War,M,27.0,184.0,99.0
14,1908,Wrestling,M,23.0,170.0,72.0
15,1912,Athletics,M,24.0,180.0,74.0
16,1912,Tennis,M,33.0,188.0,85.0
17,1920,Athletics,M,25.0,178.0,72.0
18,1920,Boxing,M,18.0,163.0,53.0
19,1920,Ice Hockey,M,26.0,174.0,76.0
20,1920,Rowing,M,22.0,184.0,79.0
21,1920,Rugby,M,23.0,178.0,76.0
22,1920,Swimming,M,27.0,175.0,73.0
23,1924,Athletics,M,24.0,178.0,72.0
24,1924,Boxing,M,18.0,171.0,63.0
25,1924,Fencing,F,36.0,169.0,67.0
26,1924,Modern Pentathlon,M,29.0,188.0,73.0
27,1924,Rowing,M,27.0,175.0,68.0
28,1924,Swimming,F,18.0,167.0,64.0
29,1928,Athletics,F,20.0,170.0,58.0
30,1928,Athletics,M,24.0,179.0,72.0
31,1928,Fencing,M,21.0,185.0,81.0
32,1928,Rowing,M,23.0,183.0,76.0
33,1928,Swimming,M,22.0,198.0,114.0
34,1928,Water Polo,M,22.0,198.0,114.0
35,1932,Art Competitions,M,46.0,178.0,77.0
36,1932,Athletics,F,21.0,168.0,56.0
37,1932,Athletics,M,23.0,181.0,75.0
38,1932,Boxing,M,20.0,172.0,70.0
39,1932,Fencing,M,25.0,185.0,81.0
40,1932,Gymnastics,M,22.0,167.0,59.0
41,1932,Hockey,M,24.0,178.0,79.0
42,1932,Rowing,M,24.0,180.0,73.0
43,1932,Swimming,F,16.0,163.0,45.0
44,1932,Swimming,M,23.0,185.0,82.0
45,1936,Art Competitions,M,48.0,183.0,91.0
46,1936,Athletics,F,22.0,170.0,60.0
47,1936,Athletics,M,23.0,182.0,75.0
48,1936,Basketball,M,25.0,188.0,81.0
49,1936,Boxing,M,18.0,182.0,54.0
50,1936,Fencing,M,29.0,185.0,81.0
51,1936,Gymnastics,M,22.0,163.0,57.0
52,1936,Handball,M,20.0,178.0,75.0
53,1936,Hockey,M,28.0,178.0,79.0
54,1936,Rowing,M,35.0,190.0,84.0
55,1936,Sailing,M,37.0,193.0,80.0
56,1936,Shooting,M,32.0,175.0,84.0
57,1936,Swimming,F,20.0,163.0,45.0
58,1948,Athletics,F,23.0,168.0,59.0
59,1948,Athletics,M,26.0,182.0,75.0
60,1948,Basketball,M,24.0,192.0,89.0
61,1948,Boxing,M,19.0,167.0,65.0
62,1948,Canoeing,M,23.0,188.0,89.0
63,1948,Cycling,M,21.0,175.0,73.0
64,1948,Diving,F,19.0,160.0,50.0
65,1948,Fencing,F,20.0,169.0,58.0
66,1948,Fencing,M,33.0,179.0,78.0
67,1948,Hockey,M,29.0,181.0,78.0
68,1948,Rowing,M,26.0,178.0,74.0
69,1948,Shooting,M,30.0,182.0,92.0
70,1948,Swimming,M,20.0,178.0,78.0
71,1948,Weightlifting,M,26.0,166.0,79.0
72,1952,Athletics,F,20.0,164.0,56.0
73,1952,Athletics,M,25.0,183.0,77.0
74,1952,Basketball,M,23.0,194.0,87.0
75,1952,Boxing,M,17.0,183.0,75.0
76,1952,Canoeing,M,35.0,177.0,73.0
77,1952,Cycling,M,22.0,180.0,76.0
78,1952,Diving,F,21.0,162.0,54.0
79,1952,Diving,M,21.0,160.0,60.0
80,1952,Equestrianism,M,22.0,184.0,69.0
81,1952,Fencing,F,29.0,172.0,64.0
82,1952,Fencing,M,34.0,179.0,78.0
83,1952,Football,M,22.0,177.0,76.0
84,1952,Gymnastics,M,23.0,178.0,74.0
85,1952,Rowing,M,23.0,187.0,84.0
86,1952,Shooting,M,32.0,182.0,92.0
87,1952,Swimming,F,17.0,170.0,59.0
88,1952,Swimming,M,19.0,176.0,74.0
89,1952,Water Polo,M,23.0,191.0,91.0
90,1952,Weightlifting,M,24.0,176.0,92.0
91,1952,Wrestling,M,21.0,181.0,94.0
92,1956,Athletics,F,20.0,168.0,64.0
93,1956,Athletics,M,25.0,182.0,76.0
94,1956,Basketball,M,24.0,194.0,91.0
95,1956,Boxing,M,22.0,174.0,71.0
96,1956,Canoeing,M,28.0,178.0,73.0
97,1956,Cycling,M,24.0,181.0,77.0
98,1956,Diving,F,24.0,160.0,54.0
99,1956,Diving,M,22.0,169.0,66.0
100,1956,Equestrianism,M,26.0,182.0,70.0
101,1956,Fencing,F,28.0,171.0,61.0
102,1956,Fencing,M,33.0,182.0,78.0
103,1956,Football,M,26.0,177.0,69.0
104,1956,Gymnastics,F,19.0,162.0,56.0
105,1956,Gymnastics,M,26.0,172.0,68.0
106,1956,Hockey,M,33.0,181.0,79.0
107,1956,Modern Pentathlon,M,25.0,182.0,76.0
108,1956,Rowing,M,23.0,186.0,80.0
109,1956,Sailing,M,31.0,182.0,86.0
110,1956,Shooting,M,33.0,179.0,84.0
111,1956,Swimming,F,18.0,170.0,60.0
112,1956,Swimming,M,21.0,180.0,79.0
113,1956,Water Polo,M,25.0,186.0,83.0
114,1956,Weightlifting,M,24.0,168.0,82.0
115,1956,Wrestling,M,26.0,173.0,80.0
116,1960,Athletics,F,22.0,171.0,64.0
117,1960,Athletics,M,24.0,183.0,80.0
118,1960,Basketball,M,23.0,196.0,89.0
119,1960,Boxing,M,22.0,172.0,67.0
120,1960,Canoeing,F,23.0,172.0,63.0
121,1960,Canoeing,M,26.0,181.0,76.0
122,1960,Cycling,M,23.0,177.0,72.0
123,1960,Diving,F,25.0,164.0,53.0
124,1960,Diving,M,24.0,179.0,70.0
125,1960,Equestrianism,F,21.0,167.0,50.0
126,1960,Equestrianism,M,25.0,179.0,70.0
127,1960,Fencing,F,29.0,168.0,57.0
128,1960,Fencing,M,30.0,182.0,77.0
129,1960,Gymnastics,F,18.0,157.0,50.0
130,1960,Gymnastics,M,25.0,176.0,67.0
131,1960,Modern Pentathlon,M,27.0,185.0,79.0
132,1960,Rowing,M,24.0,189.0,82.0
133,1960,Sailing,M,32.0,182.0,84.0
134,1960,Shooting,M,30.0,183.0,84.0
135,1960,Swimming,F,16.0,170.0,60.0
136,1960,Swimming,M,20.0,185.0,77.0
137,1960,Water Polo,M,24.0,183.0,80.0
138,1960,Weightlifting,M,28.0,172.0,83.0
139,1960,Wrestling,M,25.0,175.0,76.0
140,1964,Athletics,F,21.0,171.0,63.0
141,1964,Athletics,M,25.0,184.0,79.0
142,1964,Basketball,M,24.0,196.0,93.0
143,1964,Boxing,M,23.0,171.0,67.0
144,1964,Canoeing,F,24.0,172.0,64.0
145,1964,Canoeing,M,23.0,184.0,74.0
146,1964,Cycling,M,23.0,177.0,71.0
147,1964,Diving,F,20.0,164.0,53.0
148,1964,Diving,M,23.0,175.0,68.0
149,1964,Equestrianism,F,24.0,166.0,54.0
150,1964,Equestrianism,M,26.0,176.0,72.0
151,1964,Fencing,F,34.0,166.0,60.0
152,1964,Fencing,M,30.0,183.0,77.0
153,1964,Gymnastics,F,19.0,157.0,49.0
154,1964,Gymnastics,M,23.0,172.0,67.0
155,1964,Judo,M,26.0,176.0,85.0
156,1964,Modern Pentathlon,M,28.0,179.0,72.0
157,1964,Rowing,M,25.0,189.0,84.0
158,1964,Sailing,M,32.0,184.0,83.0
159,1964,Shooting,M,30.0,179.0,87.0
160,1964,Swimming,F,16.0,170.0,60.0
161,1964,Swimming,M,20.0,183.0,79.0
162,1964,Volleyball,F,23.0,175.0,65.0
163,1964,Volleyball,M,27.0,189.0,84.0
164,1964,Water Polo,M,23.0,185.0,79.0
165,1964,Weightlifting,M,29.0,173.0,88.0
166,1964,Wrestling,M,25.0,177.0,77.0
167,1968,Athletics,F,21.0,170.0,61.0
168,1968,Athletics,M,25.0,183.0,80.0
169,1968,Basketball,M,23.0,196.0,91.0
170,1968,Boxing,M,22.0,174.0,66.0
171,1968,Canoeing,F,28.0,169.0,59.0
172,1968,Canoeing,M,26.0,183.0,78.0
173,1968,Cycling,M,24.0,179.0,72.0
174,1968,Diving,F,22.0,164.0,54.0
175,1968,Diving,M,22.0,177.0,69.0
176,1968,Equestrianism,F,36.0,167.0,57.0
177,1968,Equestrianism,M,30.0,176.0,71.0
178,1968,Fencing,F,34.0,167.0,59.0
179,1968,Fencing,M,32.0,182.0,78.0
180,1968,Gymnastics,F,18.0,158.0,50.0
181,1968,Gymnastics,M,21.0,171.0,69.0
182,1968,Modern Pentathlon,M,30.0,181.0,71.0
183,1968,Rowing,M,22.0,187.0,85.0
184,1968,Sailing,M,32.0,180.0,79.0
185,1968,Shooting,M,31.0,177.0,78.0
186,1968,Swimming,F,17.0,171.0,62.0
187,1968,Swimming,M,20.0,185.0,78.0
188,1968,Volleyball,F,25.0,174.0,64.0
189,1968,Volleyball,M,27.0,189.0,85.0
190,1968,Water Polo,M,24.0,186.0,84.0
191,1968,Weightlifting,M,26.0,173.0,98.0
192,1968,Wrestling,M,24.0,178.0,78.0
193,1972,Archery,F,29.0,166.0,61.0
194,1972,Archery,M,24.0,186.0,77.0
195,1972,Athletics,F,22.0,171.0,61.0
196,1972,Athletics,M,25.0,184.0,79.0
197,1972,Basketball,M,21.0,201.0,91.0
198,1972,Boxing,M,21.0,178.0,66.0
199,1972,Canoeing,F,22.0,167.0,61.0
200,1972,Canoeing,M,26.0,181.0,77.0
201,1972,Cycling,M,23.0,179.0,73.0
202,1972,Diving,F,22.0,164.0,60.0
203,1972,Diving,M,23.0,176.0,68.0
204,1972,Equestrianism,F,40.0,163.0,55.0
205,1972,Equestrianism,M,33.0,178.0,71.0
206,1972,Fencing,F,28.0,164.0,54.0
207,1972,Fencing,M,28.0,183.0,76.0
208,1972,Football,M,24.0,180.0,77.0
209,1972,Gymnastics,F,18.0,158.0,48.0
210,1972,Gymnastics,M,24.0,169.0,62.0
211,1972,Handball,M,26.0,187.0,84.0
212,1972,Judo,M,21.0,179.0,81.0
213,1972,Modern Pentathlon,M,26.0,185.0,74.0
214,1972,Rowing,M,24.0,189.0,83.0
215,1972,Sailing,M,32.0,184.0,88.0
216,1972,Shooting,M,33.0,179.0,80.0
217,1972,Swimming,F,17.0,171.0,61.0
218,1972,Swimming,M,20.0,185.0,76.0
219,1972,Water Polo,M,25.0,187.0,85.0
220,1972,Weightlifting,M,27.0,171.0,91.0
221,1972,Wrestling,M,25.0,178.0,83.0
222,1976,Archery,F,26.0,172.0,67.0
223,1976,Archery,M,20.0,175.0,62.0
